Ig,CD4,CD8,IFNg-fold
7.213353748,7.011849194,8.466460614,78.06808211
7.087149209,5.293649187,6.740467124,67.87615237
7.208611581,4.826012356,4.258792345,34.31865675
7.206526015,5.520253112,3.626368052,43.07836972
2.929084351,2.794692181,3.630092072,54.07396774
2.928082868,2.950710994,2.089821078,57.99177273
2.927158726,3.32258215,2.521271394,22.16495537
2.926157902,3.455072863,2.231328352,19.27128023
2.925234368,2.864914736,1.637765054,19.95720141
1.168740228,3.059749035,1.413671975,13.58375472
1.168309891,2.378942468,0.870564806,10.82158444
1.167971881,1.358122273,1.078859898,11.20675625
1.16757254,0.519255409,0.398305692,7.365649403
1.167204038,0.414239196,0.382910421,7.365649403
0.466341545,0.204109252,0.192696044,5.971406019
0.466169835,0.209427987,0.19251718,4.593656847
0.474184185,0.209827672,0.096830374,4.926479691
0.465887878,0.104822517,0.096920338,3.019184593
0.465716335,0.10472422,0.097005643,1.003307014
0.185953611,0.104626015,0.009823904,0.968823746
